time,cmd_lin_x,cmd_ang_z
1746638501.8952515,0.15,0.0
1746638502.292877,-0.05,0.6181343815654858
1746638502.6730886,0.15,0.0
1746638503.001618,0.0,0.3
1746638503.3044431,0.0,0.3
1746638503.6699193,0.15,0.0
1746638504.0632803,0.15,0.0
1746638504.3815277,-0.05,-0.11526421003042797
1746638504.689056,0.0,0.3
1746638504.9658864,0.0,0.3
1746638505.197351,0.15,0.0
1746638505.6893735,0.1,0.5
1746638505.9969926,0.1,0.5
1746638506.2909014,0.1,0.5
1746638506.6794887,0.1,0.5
1746638506.9895716,0.1,0.5
1746638507.3625917,0.1,0.5
1746638507.7735944,0.1,0.5
1746638508.1041536,0.1,0.5
1746638508.4644268,0.1,0.5
1746638508.7996929,0.1,0.5
1746638509.1682794,0.1,0.5
1746638509.5141776,0.1,0.5
1746638509.881512,0.1,0.5
1746638510.2006426,0.15,0.0
1746638510.4946287,0.15,0.0
1746638510.8918555,0.15,0.0
1746638511.3705971,0.15,0.0
1746638511.7292316,0.15,0.0
1746638512.1590257,0.15,0.0
1746638512.572019,0.15,0.0
1746638512.9404488,0.15,0.0
1746638513.294519,0.15,0.0
1746638513.6715918,0.15,0.0
1746638513.981451,0.15,0.0
1746638514.3733141,0.15,0.0
1746638514.7027779,0.15,0.0
1746638515.0824149,0.15,0.0
1746638515.3705873,0.15,0.0
1746638515.6673272,0.15,0.0
1746638515.9667356,0.15,0.0
1746638516.1874988,0.15,0.0
1746638516.5010068,0.15,0.0
1746638516.8633478,0.15,0.0
1746638517.180747,0.15,0.0
1746638517.5848017,0.15,0.0
1746638517.8820798,0.15,0.0
1746638518.2638338,0.15,0.0
1746638518.7067697,0.15,0.0
1746638519.1727984,0.15,0.0
1746638519.487648,0.15,0.0
1746638519.8048542,0.15,0.0
1746638520.1681054,0.15,0.0
1746638520.4722574,0.15,0.0
1746638520.7697365,0.15,0.0
1746638521.1638525,0.15,0.0
1746638521.56839,0.15,0.0
1746638521.979507,0.15,0.0
1746638522.3062072,0.15,0.0
1746638522.7726145,0.15,0.0
1746638523.1044393,0.15,0.0
1746638523.4917166,0.15,0.0
1746638523.7765338,0.15,0.0
1746638524.075654,0.15,0.0
1746638524.2832563,0.15,0.0
1746638524.579479,0.15,0.0
1746638524.8990338,0.15,0.0
1746638525.2716625,0.15,0.0
1746638525.5972214,0.15,0.0
1746638525.99053,0.15,0.0
1746638526.4641263,0.15,0.0
1746638526.688796,0.15,0.0
1746638527.0651877,0.15,0.0
1746638527.296966,0.15,0.0
1746638527.6810348,0.15,0.0
1746638527.9869118,0.15,0.0
1746638528.3660955,0.15,0.0
1746638528.6798594,0.15,0.0
1746638529.1002975,0.15,0.0
1746638529.4872932,0.15,0.0
1746638529.878339,0.15,0.0
1746638530.1772618,0.15,0.0
1746638530.5657747,0.15,0.0
1746638530.888644,0.15,0.0
1746638531.2720468,0.15,0.0
1746638531.5851862,0.15,0.0
1746638531.9030154,0.15,0.0
1746638532.1861644,0.15,0.0
1746638532.5051956,0.15,0.0
1746638532.7917817,0.15,0.0
1746638533.1077611,0.15,0.0
1746638533.3923826,0.15,0.0
1746638533.7722526,0.15,0.0
1746638534.1001492,0.15,0.0
1746638534.3768468,0.15,0.0
1746638534.8626523,0.15,0.0
1746638535.0963142,0.15,0.0
1746638535.4833133,0.15,0.0
1746638535.8807702,0.15,0.0
1746638536.1709948,0.1,-0.5
1746638536.475997,0.1,-0.5
1746638536.863543,0.1,-0.5
1746638537.1861813,0.15,0.0
